relative_path;date;year;series_id;family;regimen_gy;dose_sum_gy;dose2_sum_gy2;n_animals;control_file;control_match;nearest_control;nearest_control_gap_days;duplicate_of;data_quality_note;included_analysis;included_strict;exclusion_reason;sf_eff;sf_time_day;sf_se;sf_ci_low;sf_ci_high;sf_bootstrap_success;aligned_time_points
Новые оцифрованные данные для анализа\02.11.2017_y32.xlsx;2017-11-02;2017;2017-11-02;y;32;32.0;1024.0;8;control_02.11.2017.xlsx;same_date;control_02.11.2017.xlsx;0;;;1;1;;0.013565788868190513;15.0;0.004793180303897565;0.0032426007357104;0.021808621626928513;500;10
Новые оцифрованные данные для анализа\03.05.2018_p32.xlsx;2018-05-03;2018;2018-05-03;p_through;32;32.0;1024.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;13;;nearest_date_proxy_control;1;0;;0.2593625531978647;14.0;0.03842669675568648;0.18701784487387438;0.3347074792085811;500;10
Новые оцифрованные данные для анализа\03.05.2018_y32.xlsx;2018-05-03;2018;2018-05-03;y;32;32.0;1024.0;7;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;13;Новые оцифрованные данные для анализа\16.05.2018_y32.xlsx;nearest_date_proxy_control;0;0;exact_duplicate_file_user_resolved_date_conflict;;;;;;0;0
Новые оцифрованные данные для анализа\04.02.2022_p36.xlsx;2022-02-04;2022;2022-02-04;p_through;36;36.0;1296.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1360;;nearest_date_proxy_control;1;0;;0.02160374677514776;14.0;0.006361492735147837;0.01143088620258183;0.03569674176079264;500;9
Новые оцифрованные данные для анализа\04.05.2017_p32.xlsx;2017-05-04;2017;2017-05-04;p_through;32;32.0;1024.0;6;control_04.05.2017.xlsx;same_date;control_04.05.2017.xlsx;0;;;1;1;;0.0629857660759522;19.0;0.00865475527358958;0.0436281209655386;0.07698393946279582;500;11
Новые оцифрованные данные для анализа\05.12.2018_y32.xlsx;2018-12-05;2018;2018-12-05;y;32;32.0;1024.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;203;;nearest_date_proxy_control;1;0;;0.04460877228326009;13.0;0.00902090386626692;0.02784474753674434;0.06412135144642472;500;9
Новые оцифрованные данные для анализа\06.03.2020_e30.xlsx;2020-03-06;2020;2020-03-06;e;30;30.0;900.0;6;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;660;;nearest_date_proxy_control;1;0;;0.025059185448768926;12.0;0.007929282859889418;0.008195456046169267;0.03854774018877344;500;9
Новые оцифрованные данные для анализа\06.03.2020_e32.xlsx;2020-03-06;2020;2020-03-06;e;32;32.0;1024.0;6;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;660;;nearest_date_proxy_control;1;0;;0.009931281780501285;12.0;0.003894388629570896;0.0025124509636479404;0.017459100669553175;500;9
Новые оцифрованные данные для анализа\08.07.2020_e32.xlsx;2020-07-08;2020;2020-07-08;e;32;32.0;1024.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;784;;nearest_date_proxy_control;1;0;;0.004639110235701587;16.0;0.0014690475215478817;0.0018836660872283838;0.007492147068721875;500;11
Новые оцифрованные данные для анализа\12.02.2021_e32.xlsx;2021-02-12;2021;2021-02-12;e;32;32.0;1024.0;6;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1003;;nearest_date_proxy_control;1;0;;0.02035066009397106;13.0;0.006360267948057047;0.008540822251801312;0.03230848675999858;500;9
Новые оцифрованные данные для анализа\12.02.2021_y32.xlsx;2021-02-12;2021;2021-02-12;y;32;32.0;1024.0;6;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1003;;nearest_date_proxy_control;1;0;;0.11166451222688582;16.0;0.03527432487619348;0.04138029061222445;0.17622738605309426;500;9
Новые оцифрованные данные для анализа\12.11.2021_p32.xlsx;2021-11-12;2021;2021-11-12;p_through;32;32.0;1024.0;6;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1276;;nearest_date_proxy_control;1;0;;0.08093262433105866;13.0;0.015439091467571022;0.05154954781047696;0.1129116563413989;500;10
Новые оцифрованные данные для анализа\12.11.2021_p7.3_p7.3_p7.3_p7.3_p7.3_p7.3.xlsx;2021-11-12;2021;2021-11-12;p_through;7.3+7.3+7.3+7.3+7.3+7.3;43.8;319.74;7;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;1276;;nearest_date_proxy_control;1;0;;0.08657324987754013;11.0;0.01119630719866904;0.06226023736028779;0.10772092926797855;500;9
Новые оцифрованные данные для анализа\12.12.2016_y36.xlsx;2016-12-12;2016;2016-12-12;y;36;36.0;1296.0;8;control_29.09.2016.xlsx;nearest_available_proxy;control_29.09.2016.xlsx;74;;nearest_date_proxy_control;1;0;;0.01412158175230965;14.0;0.011026175876546406;0.0022107794869354303;0.04064085968757571;500;10
Новые оцифрованные данные для анализа\14.02.2018_p36.xlsx;2018-02-14;2018;2018-02-14;p_through;36;36.0;1296.0;8;control_14.02.2018.xlsx;same_date;control_14.02.2018.xlsx;0;;;1;1;;0.007345063184817679;16.0;0.0030618782083637634;0.0017697901344352505;0.013975258380510428;500;11
Новые оцифрованные данные для анализа\14.02.2018_y36.xlsx;2018-02-14;2018;2018-02-14;y;36;36.0;1296.0;6;control_14.02.2018.xlsx;same_date;control_14.02.2018.xlsx;0;;;1;1;;0.025385890057469752;13.0;0.006943480673164506;0.014403006518737759;0.04153130548534395;500;10
Новые оцифрованные данные для анализа\14.02.2018_y40.xlsx;2018-02-14;2018;2018-02-14;y;40;40.0;1600.0;6;control_14.02.2018.xlsx;same_date;control_14.02.2018.xlsx;0;;;1;1;;0.01217412338890729;15.0;0.003643729885326356;0.006263540583966968;0.02074905583050201;500;10
