voxel_id,dose_gy,let_kev_um,alpha,beta,sf,bed
9234991,16.680517780350556,0.0,0.1,0.02,0.0007224623526118929,72.32845246446877
9235271,16.29555021301302,0.0,0.1,0.02,0.0009678299513641258,69.40454156197875
9235272,16.477457964612075,0.0,0.1,0.02,0.0008435611053581741,70.77878215972365
9235273,16.032136507596714,0.0,0.1,0.02,0.0011781596569462361,67.43801670723978
9235274,15.88943058153606,0.0,0.1,0.02,0.0013090898656619309,66.38423142262673
9235275,16.014368773719596,0.0,0.1,0.02,0.0011937722569404872,67.30637021785665
9235555,16.196276525318652,0.0,0.1,0.02,0.0010426235290436588,68.66015118223626
9235556,16.355058020125266,0.0,0.1,0.02,0.0009254187142254368,69.85264258845802
9235557,16.038905168121328,0.0,0.1,0.02,0.0011722619609294597,67.48820096651913
9235558,16.545708624901952,0.0,0.1,0.02,0.0008008952924368385,71.29780340493292
9235559,16.732692871894468,0.0,0.1,0.02,0.0006940757163134289,72.72929502092406
9235560,16.58209017522176,0.0,0.1,0.02,0.0007789814623479336,71.57523309105898
9235839,15.538024289299745,0.0,0.1,0.02,0.0016910487079921216,63.82406405227351
9235840,16.149741984211918,0.0,0.1,0.02,0.0010794997694791454,68.31257521553533
9235841,16.36887736869636,0.0,0.1,0.02,0.0009158200513337914,69.95690663098034
9235842,16.3293935156361,0.0,0.1,0.02,0.0009434933859203291,69.65921203333575
9235843,16.19712260788423,0.0,0.1,0.02,0.0010419640092807917,68.6664787628511
9235844,16.18161109418198,0.0,0.1,0.02,0.0010541169661056865,68.55051861485265
9235845,16.50594274431983,0.0,0.1,0.02,0.0008255033867006209,70.99517192007272
9236123,15.75067304078143,0.0,0.1,0.02,0.0014492032898518277,65.36741328830122
9236124,15.55945838096103,0.0,0.1,0.02,0.0016650822784681925,63.97880740273271
9236125,16.233786185725897,0.0,0.1,0.02,0.0010137541112560141,68.94094897049888
9236126,15.969808425265875,0.0,0.1,0.02,0.0012337752944736506,66.97676465320446
9236127,15.940759590514396,0.0,0.1,0.02,0.0012605183099458914,66.76232285502974
9236128,16.110540158673516,0.0,0.1,0.02,0.0011115008054021181,68.02044099951993
9236129,15.994344819667607,0.0,0.1,0.02,0.0012115971801689022,67.1581580617532
9236407,15.307043748897224,0.0,0.1,0.02,0.0019955887857066187,62.16816141502793
9236408,15.935683095120934,0.0,0.1,0.02,0.0012652466144429252,66.72488223674556
9236409,16.547118762511246,0.0,0.1,0.02,0.0008000353345660591,71.30854663064159
9236410,16.745948165421844,0.0,0.1,0.02,0.0006870314996857519,72.83130415722088
9236411,17.227369145235155,0.0,0.1,0.02,0.0004720706658280905,76.58381867847521
9236412,17.176322163778675,0.0,0.1,0.02,0.0004914486608474969,76.18153077856158
9236413,17.30210643852779,0.0,0.1,0.02,0.00044498571027478783,77.17468388055676
9236691,16.40018242362271,0.0,0.1,0.02,0.0008944174791072072,70.19337912924337
9236692,16.081773351443896,0.0,0.1,0.02,0.0011355410816911084,67.8064601768861
9236693,16.277500451614042,0.0,0.1,0.02,0.0009810467302549296,69.26890464207311
9236694,15.950630553779462,0.0,0.1,0.02,0.0012513712153264277,66.83515356641205
9236695,16.73607720215678,0.0,0.1,0.02,0.0006922708186009925,72.75533322546715
9236696,16.150306039255636,0.0,0.1,0.02,0.0010790456270712205,68.31678307157905
9236697,16.28708938735725,0.0,0.1,0.02,0.0009740045791263565,69.34094552971027
9236975,16.578423817437596,0.0,0.1,0.02,0.0007811642623285911,71.54725107155403
9236976,16.139306965903135,0.0,0.1,0.02,0.0010879334677499494,68.23475283383303
9236977,15.880123673314712,0.0,0.1,0.02,0.0013180802923365748,66.31578924926878
9236978,15.812719095590412,0.0,0.1,0.02,0.001384919015687746,65.82113613480034
9236979,15.998293204973633,0.0,0.1,0.02,0.0012080629982701065,67.18737029943473
9236980,16.459690230734957,0.0,0.1,0.02,0.0008550102738434551,70.64397072908531
9237260,16.90134532996615,0.0,0.1,0.02,0.000609273062502839,74.03244012251987
9237261,16.52596669837182,0.0,0.1,0.02,0.0008130254247493074,71.1474817615107
9237262,16.49635380857663,0.0,0.1,0.02,0.0008315416582945044,70.92229160412477
9237263,16.754126963555752,0.0,0.1,0.02,0.0006827183860177541,72.89428102574493
9315359,15.873637040311955,0.0,0.1,0.02,0.0013243801215789225,66.26810761782468
9315360,15.651681380608922,0.0,0.1,0.02,0.001557504000350083,64.64670738862893
9315361,16.646674477727473,0.0,0.1,0.02,0.0007414499691719808,72.06902871121213
9315362,16.692362936268633,0.0,0.1,0.02,0.0007159244584346863,72.4193590154916
9315363,16.533863468983874,0.0,0.1,0.02,0.0008081529917688205,71.20759171118377
